customer_id,city,customer_class,churn_flag,purchase_intensity,digital_engagement,value_per_year,engagement_index,loyalty_spend,activity_value,engagement_value,weighted_loyalty
CUST100000,Almaty,Low Value,0,9.6,38.0,86.658,0.8919540229885057,43077.6918,9092.16,386.47475862068967,0.000849395070041276
CUST100001,Karaganda,Low Value,0,9.333333333333334,13.0,850.0633333333334,0.37241379310344824,144697.7806,12068.56,949.7259310344826,0.002853114369687611
CUST100002,Astana,Low Value,0,8.25,30.0,645.4975,0.6804597701149425,44874.98619999999,7030.9800000000005,1756.9403218390803,0.000884833668048349
CUST100003,Shymkent,Medium Value,0,9.5,13.0,1127.235,0.4735632183908046,73540.81139999999,17779.82,2135.2681379310343,0.0014500591846937176
CUST100004,Karaganda,Low Value,0,26.0,22.5,2439.07,0.5011494252873563,186320.55730000001,9698.779999999999,1222.3385287356323,0.0036738217904693556
CUST100005,Almaty,Low Value,0,4.0,35.5,322.6716666666667,0.6942528735632184,114593.6157,8524.32,1344.0943908045977,0.0022595280333424124
CUST100006,Shymkent,Medium Value,0,0.7142857142857143,35.0,1096.96,0.574712643678161,421408.1536,743.1,4413.057471264368,0.008309219765183352
CUST100007,Almaty,Medium Value,0,6.285714285714286,13.5,1277.957142857143,0.5149425287356323,416690.706,17559.96,4606.521379310346,0.00821620232234492
CUST100008,Astana,Low Value,0,2.8333333333333335,15.5,127.44833333333334,0.3448275862068966,55447.67190000001,970.87,263.68620689655177,0.0010933032200468593
CUST100009,Karaganda,Low Value,0,6.428571428571429,32.0,310.7957142857143,0.786206896551724,186685.66170000003,12209.4,1710.4481379310344,0.00368102082701129
CUST100010,Shymkent,Medium Value,0,12.333333333333334,24.5,2586.5,0.6321839080459771,235112.85,13653.369999999999,4905.43103448276,0.004635895920805906
CUST100011,Astana,Medium Value,0,3.0,25.0,1635.352,0.4919540229885058,180624.62840000002,6635.7,4022.589977011495,0.003561510899964177
CUST100012,Karaganda,Medium Value,0,0.2857142857142857,38.0,721.6557142857143,0.5816091954022988,338557.56179999997,573.96,2938.0511954022986,0.006675592676906487
CUST100013,Karaganda,Medium Value,0,3.4,26.0,697.934,0.6183908045977011,638400.2298,4517.58,4315.95967816092,0.01258781483517967
CUST100014,Almaty,Low Value,0,4.0,29.0,173.648,0.5839080459770115,30232.1168,8503.8,506.9723218390805,0.0005961092596616802
CUST100015,Almaty,Medium Value,0,3.0,16.0,851.033,0.4091954022988506,231821.38919999998,11554.5,3482.3879080459774,0.0045709957262984055
CUST100016,Astana,Medium Value,0,8.0,11.5,4172.005,0.25287356321839083,188658.0661,1296.16,2109.9795402298855,0.0037199121998653874
CUST100017,Almaty,Medium Value,0,7.333333333333333,37.0,1160.78,0.8643678160919539,177251.106,19220.52,6020.04524137931,0.003494992635509863
CUST100018,Astana,Medium Value,1,0.5714285714285714,13.5,1310.2342857142855,0.20689655172413793,123725.4236,1920.56,1897.5806896551724,0.0024395867200249694
CUST100019,Astana,Low Value,0,15.5,30.0,285.79,0.664367816091954,34111.894400000005,8406.58,379.7393563218391,0.0006726097365580904
CUST100020,Astana,Low Value,0,2.6,6.0,238.654,0.25517241379310346,67014.0432,623.74,608.9791724137931,0.0013213660142675772
CUST100021,Almaty,Medium Value,0,5.125,14.0,461.15,0.48505747126436777,226848.908,18787.43,1789.4740229885056,0.0044729495952112956
CUST100022,Shymkent,Low Value,0,2.4,23.0,334.006,0.3770114942528736,13861.249000000002,789.24,629.6205057471265,0.00027331261433126663
CUST100023,Astana,Medium Value,1,0.25,13.0,1020.84875,0.16551724137931034,94326.42450000001,636.8,1351.7445517241379,0.001859904665201227
CUST100024,Shymkent,Medium Value,0,2.6666666666666665,30.5,2532.07,0.5333333333333333,407232.8181,1627.6,4051.312,0.008029714072404309
CUST100025,Karaganda,Medium Value,0,7.0,33.5,3877.6,0.6137931034482759,396678.48,6944.84,4760.088275862069,0.007821606293758452
CUST100026,Almaty,Low Value,0,3.4285714285714284,31.0,426.25857142857143,0.6298850574712643,81010.4415,11016.0,1879.4573333333333,0.0015973434684345641
CUST100027,Almaty,High Value,0,8.6,25.0,1530.118,0.6804597701149426,632780.2988999999,16913.19,5205.918712643679,0.012477002454084715
CUST100028,Shymkent,Low Value,0,8.0,25.5,263.654,0.639080459770115,24651.648999999998,4145.6,842.4805977011495,0.0004860750020266394
CUST100029,Karaganda,Low Value,0,5.125,26.0,144.665,0.6873563218390805,41744.5324,14395.1,795.4912183908045,0.0008231081689882536
CUST100030,Karaganda,Medium Value,0,2.7777777777777777,16.5,653.5744444444445,0.3885057471264368,326754.54349999997,7205.249999999999,2285.256850574713,0.006442863736781914
CUST100031,Astana,Low Value,0,0.875,33.5,72.7275,0.5701149425287356,50455.430400000005,504.0,331.704275862069,0.0009948674603445379
CUST100032,Almaty,Medium Value,0,3.2,31.0,939.2639999999999,0.6919540229885057,393175.9104,12747.84,6499.275034482758,0.007752543509138305
CUST100033,Karaganda,Medium Value,0,11.5,22.0,1677.79,0.44597701149425284,133753.41879999998,1099.3999999999999,1496.511540229885,0.0026373162020228323
CUST100034,Karaganda,Medium Value,0,4.6,31.5,482.262,0.8114942528735631,279470.829,11196.4,3913.528413793103,0.005510535371185985
CUST100035,Astana,Medium Value,0,5.571428571428571,34.0,1164.4242857142858,0.7999999999999999,258141.21990000003,8429.85,6520.776,0.005089963514653795
CUST100036,Astana,Medium Value,0,5.2,16.0,812.104,0.41609195402298854,287972.0784,10505.82,1689.5497011494253,0.0056781608642852074
CUST100037,Shymkent,Medium Value,0,6.0,37.0,623.3414285714287,0.8597701149425288,108517.50930000002,9099.300000000001,3751.512321839081,0.0021397208987083732
CUST100038,Almaty,Medium Value,0,2.3333333333333335,27.0,1181.55,0.43908045977011495,291795.588,2440.76,1556.386551724138,0.005753551862938842
CUST100039,Karaganda,Medium Value,0,11.75,28.5,895.515,0.7402298850574711,97575.31439999999,11361.78,2651.547862068965,0.0019239654574316702
CUST100040,Shymkent,Medium Value,0,6.428571428571429,19.0,676.1085714285715,0.5701149425287356,469821.08520000003,13189.500000000002,2698.217195402299,0.009263813748960483
CUST100041,Almaty,Medium Value,0,2.0,22.5,4732.345,0.3149425287356322,299557.4385,497.28,2980.833402298851,0.005906598074878578
CUST100042,Shymkent,High Value,0,22.0,28.0,4683.29,0.6850574712643678,823135.0504,4629.24,6416.645609195401,0.01623036946905166
CUST100043,Almaty,Medium Value,0,25.0,27.5,5497.1,0.5402298850574713,218454.75400000002,8910.25,2969.6977011494255,0.004307435782218019
CUST100044,Almaty,Medium Value,0,18.0,10.5,4614.0,0.26206896551724135,113550.54,1179.8999999999999,1209.1862068965515,0.002238960929576192
CUST100045,Karaganda,Medium Value,0,7.0,30.5,8100.8,0.503448275862069,183240.09600000002,644.77,4078.3337931034484,0.0036130820309246497
CUST100046,Almaty,Medium Value,0,3.6666666666666665,26.0,1140.2,0.5172413793103449,581638.8239999999,10356.939999999999,3538.551724137931,0.011468607741192979
CUST100047,Astana,Medium Value,0,0.8,29.5,1765.4959999999999,0.43218390804597695,272592.58239999996,521.6,3815.0948045977,0.005374911838251748
CUST100048,Karaganda,Medium Value,0,2.9,25.0,733.306,0.606896551724138,248297.41160000002,4785.87,4450.408827586208,0.004895865783529504
CUST100049,Astana,Medium Value,0,3.0,12.0,1191.02625,0.3448275862068966,187705.73699999996,7642.32,3285.5896551724136,0.0037011344146871002
CUST100050,Shymkent,High Value,0,8.0,43.0,1774.766,0.9264367816091953,853041.2779,8919.199999999999,8221.042505747126,0.016820052925629828
CUST100051,Shymkent,Medium Value,0,38.0,25.0,8566.97,0.6620689655172414,209633.75589999996,10704.98,5671.924965517241,0.0041335055648384625
CUST100052,Almaty,Medium Value,0,5.125,22.5,497.04125,0.593103448275862,98374.40419999999,3139.37,2358.3750344827586,0.0019397217087134594
CUST100053,Almaty,Medium Value,1,2.0,6.0,653.9166666666666,0.14022988505747125,370339.165,4054.08,550.1919540229884,0.007302254318886293
CUST100054,Astana,High Value,0,1.125,29.0,929.73875,0.464367816091954,670081.3119,742.59,3453.9260229885053,0.01321249442744401
CUST100055,Astana,Low Value,0,7.5,9.5,464.56,0.239080459770115,23125.7968,5626.8,222.13443678160925,0.00045598863290758577
CUST100056,Astana,Medium Value,0,1.3,25.5,328.992,0.46896551724137936,284479.3824,3434.47,1542.8590344827587,0.005609292764821417
CUST100057,Shymkent,Medium Value,0,3.75,40.0,1166.1275,0.8160919540229885,233038.91960000002,12270.599999999999,7613.33816091954,0.0045950026838714065
CUST100058,Astana,Medium Value,0,5.833333333333333,13.0,759.3333333333334,0.4459770114942529,38498.2,3166.8,2031.8712643678161,0.000759097804898243
CUST100059,Karaganda,Low Value,0,35.0,27.0,2771.99,0.6689655172413793,227414.0596,6715.8,1854.365724137931,0.0044840931120249325
CUST100060,Karaganda,Medium Value,0,26.0,30.5,4816.88,0.632183908045977,371670.4608,11028.68,3045.154022988506,0.0073285044739441986
CUST100061,Shymkent,Low Value,0,1.9,15.5,295.704,0.3816091954022989,87143.9688,7606.84,1128.4336551724139,0.0017182828139030131
CUST100062,Astana,Medium Value,0,4.2,12.5,1541.156,0.3241379310344828,69429.0778,10144.050000000001,2497.7355862068966,0.001368985057849181
CUST100063,Astana,Medium Value,0,3.0,34.0,1217.2842857142857,0.671264367816092,175873.2336,2412.27,5719.836965517242,0.003467824094791859
CUST100064,Almaty,High Value,0,3.25,8.5,1962.08,0.19080459770114944,605183.9552,3533.66,1497.4955402298851,0.011932864704114914
CUST100065,Karaganda,Low Value,0,2.1,15.5,157.557,0.35402298850574715,151995.23789999998,290.84999999999997,557.788,0.00299700379355077
CUST100066,Shymkent,Medium Value,0,4.8,24.5,685.394,0.5448275862068965,88758.52299999999,11586.960000000001,1867.107793103448,0.0017501181867025008
CUST100067,Astana,Low Value,0,2.6,10.0,221.831,0.31954022988505754,181524.3073,2383.94,708.839287356322,0.003579250541768294
CUST100068,Almaty,Low Value,0,14.666666666666666,18.0,174.57000000000002,0.5402298850574713,11935.350900000001,19924.52,282.9237931034483,0.0002353382409795853
CUST100069,Shymkent,Medium Value,0,15.5,27.5,3708.92,0.6321839080459771,504116.4064,10563.869999999999,4689.4390804597715,0.009940040248931914
CUST100070,Shymkent,Medium Value,0,15.0,24.0,2170.38,0.5540229885057472,36288.7536,14062.2,2404.880827586207,0.0007155324976298429
CUST100071,Karaganda,Low Value,0,4.8,18.5,567.714,0.47126436781609204,166141.5021,3068.88,1337.7168965517244,0.0032759362657632527
CUST100072,Astana,Medium Value,0,8.0,8.5,786.13,0.31494252873563217,84650.4784,5627.52,990.34308045977,0.0016691167986302255
CUST100073,Shymkent,Low Value,0,15.0,31.5,718.33,0.6942528735632184,133005.9828,2591.3999999999996,997.4053333333334,0.0026225784473511353
CUST100074,Almaty,Medium Value,0,5.2,39.0,1656.986,0.7655172413793103,240097.2714,5566.599999999999,6342.25675862069,0.004734177485747327
